title,harga,lokasi,tanggal,terjangkau_internet,dibangun,carport,pemandangan,kondisi_properti,konsep_dan_gaya_rumah,listrik,sumber_air,lantai,kamar_mandi,material_lantai,kamar_pembantu,hadap,direnovasi,sertifikat,material_bangunan,lebar_jalan,perabotan,kamar_tidur,luas_bangunan,dapur,ruang_tamu,ruang_makan,hook,garasi,kamar_mandi_pembantu,luas_tanah,kitchen_set,tempat_jemuran,tempat_laundry,one_gate_system,keamanan,kompor,jalur_telepon,keamanan_24_jam,taman,pemanas_air,mesin_cuci,kulkas,masjid,kolam_renang,ac,cctv,wastafel,playground,akses_parkir,kolam_ikan,ac.1,tipe
"Rumah Joglo Jawa, Ori Kuno Antik Komplit Gebyok Tumpangsari Teras | Rumah123",395000000,Denpasar,2024-06-13,False,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,5500,PAM atau PDAM,1.0,1.0,Granit,False,Selatan,2022.0,"Lainnya (PPJB,Girik,Adat,dll)",Batako,2 Mobil,Unfurnished,1.0,100,0,False,False,False,0,False,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,rumah
Rumah 2 Lantai Cocok Untuk Tinggal dan Investasi | Rumah123,400000000,Denpasar,2024-06-14,False,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,2200,PAM atau PDAM,1.0,2.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,82,0,False,False,False,0,False,64,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rumah
For sale 3 br semi villa house in Lovina central with good acces road | Rumah123,400000000,Buleleng,2024-06-13,True,2022.0,0,Pegunungan,Bagus,Minimalis Modern,5500,PAM atau PDAM,1.0,2.0,Granit,False,Utara,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Semi Furnished,3.0,120,1,True,True,True,1,False,200,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,villa
Villa In Berawa Canggu 3 Bedrooms Ensuit Bathrom | Rumah123,400000000,Badung,2024-06-13,True,2022.0,1,Perkotaan,Bagus,Modern,5500,Sumur Bor,1.0,3.0,"Granit, Keramik, Marmer, Ubin",False,Selatan,2022.0,SHM - Sertifikat Hak Milik,"Batako, Beton, Bata Merah, Bata Hebel",2 Mobil,Furnished,3.0,280,1,True,True,False,0,True,350,True,True,False,False,False,True,True,False,True,True,False,True,False,True,True,False,True,False,False,False,False,villa
Dijual Rumah Nyaman Minimalis Di Singaraja | Rumah123,400000000,Buleleng,2024-06-13,False,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,3500,PAM atau PDAM,1.0,1.0,Granit,False,Timur,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Semi Furnished,2.0,45,0,True,True,False,1,False,84,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,rumah
Rumah Murah (Bisa Nego) | Rumah123,400000000,Buleleng,2024-06-13,False,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,900,PAM atau PDAM,1.0,1.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,100,0,False,False,False,0,False,103,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rumah
"Jual Rumah Murah Di Kediri, Tabanan, lokasi dekat jalan Utama. | Rumah123",420000000,Tabanan,2024-06-13,True,2022.0,1,Pemukiman Warga,Bagus,Minimalis,5500,PAM atau PDAM,1.0,1.0,Keramik,False,Utara,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,47,1,True,True,False,1,False,86,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,rumah
RUMAH MINIMALIS AREA SUKASADA BULELENG | Rumah123,423000000,Buleleng,2024-06-13,False,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,1300,PAM atau PDAM,1.0,1.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,45,0,False,False,False,0,False,103,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rumah
Rumah tinggal 1 lantai diarea Buleleng dilingkungan yang masih asri dan tenang akses 2m dari jalan raya. | Rumah123,425000000,Buleleng,2024-06-13,False,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,900,PAM atau PDAM,1.0,2.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,60,0,False,False,False,0,False,146,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rumah
RUMAH MINIMALIS MODERN JL. GUNUNG BATUKARU TABANAN | Rumah123,425000000,Tabanan,2024-06-13,False,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,5500,PAM atau PDAM,1.0,1.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,45,0,False,False,False,0,False,90,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rumah
