price,location,bedroom,bathroom,carport,build_area,land_area,type
1190000000,Denpasar,3,2,1,73,60,rumah
1300000000,Denpasar,2,2,1,73,60,rumah
1300000000,Denpasar,3,2,1,73,60,rumah
1300000000,Denpasar,3,2,0,73,60,rumah
1300000000,Denpasar,3,2,1,73,60,rumah
1400000000,Denpasar,2,3,1,73,60,rumah
1400000000,Denpasar,2,2,1,73,60,rumah
1430000000,Denpasar,3,2,0,73,60,rumah
1500000000,Denpasar,2,3,1,73,60,rumah
1500000000,Denpasar,2,2,1,73,60,rumah
1500000000,Denpasar,2,2,1,73,60,rumah
1500000000,Denpasar,2,2,1,73,60,villa
1500000000,Denpasar,2,2,1,73,60,rumah
1550000000,Denpasar,2,2,1,73,60,villa
1550000000,Denpasar,2,2,1,73,64,rumah
1400000000,Denpasar,3,2,0,73,65,rumah
1430000000,Denpasar,3,2,0,73,65,rumah
1620000000,Denpasar,3,2,0,73,74,rumah
1100000000,Badung,3,3,1,75,70,rumah
1110000000,Badung,3,3,1,75,70,rumah
1180000000,Denpasar,3,3,1,75,70,rumah
875000000,Badung,3,3,1,75,73,rumah
875000000,Badung,3,3,0,75,73,rumah
1240000000,Denpasar,3,2,0,75,73,rumah
1650000000,Denpasar,2,2,0,75,95,villa
1650000000,Denpasar,2,2,1,75,95,rumah
1650000000,Denpasar,2,2,1,75,95,rumah
1650000000,Denpasar,2,2,0,75,95,villa
1900000000,Denpasar,2,2,1,75,95,rumah
795000000,Gianyar,3,2,0,75,100,rumah
850000000,Badung,3,2,0,75,100,rumah
1700000000,Badung,2,3,1,75,100,rumah
1700000000,Badung,2,3,1,75,100,rumah
1750000000,Badung,3,3,1,75,100,villa
2270000000,Denpasar,2,3,0,75,100,villa
2500000000,Denpasar,3,2,1,75,100,rumah
2500000000,Denpasar,3,2,0,75,100,rumah
2500000000,Denpasar,3,2,1,75,100,rumah
2500000000,Denpasar,3,2,1,75,100,villa
2500000000,Denpasar,3,2,1,75,100,rumah
2500000000,Denpasar,3,2,1,75,100,villa
2500000000,Denpasar,3,2,1,75,100,villa
2500000000,Denpasar,3,2,0,75,100,rumah
2500000000,Denpasar,3,2,0,75,100,rumah
2500000000,Denpasar,3,2,1,75,100,rumah
2500000000,Denpasar,3,2,1,75,100,villa
2500000000,Denpasar,3,2,1,75,100,villa
2590000000,Denpasar,3,2,1,75,103,rumah
2590000000,Denpasar,3,2,1,75,103,villa
2600000000,Denpasar,3,4,0,75,103,rumah
1500000000,Badung,3,3,0,75,105,rumah
925000000,Badung,2,2,0,75,108,rumah
975000000,Denpasar,2,1,1,75,109,rumah
3100000000,Denpasar,3,2,1,75,120,villa
3100000000,Denpasar,3,2,1,75,120,rumah
3100000000,Denpasar,3,2,1,75,120,rumah
3100000000,Denpasar,3,2,1,75,120,rumah
3150000000,Denpasar,3,2,1,75,120,rumah
3150000000,Denpasar,3,2,0,75,120,rumah
3150000000,Denpasar,3,2,1,75,120,rumah
2400000000,Badung,2,1,0,75,126,villa
3150000000,Denpasar,3,2,1,75,142,rumah
1800000000,Buleleng,1,1,0,75,240,villa
525000000,Tabanan,2,1,0,76,76,rumah
1990000000,Badung,2,1,0,76,100,villa
2650000000,Tabanan,2,3,0,76,105,villa
2650000000,Tabanan,2,2,0,76,105,rumah
2950000000,Tabanan,2,2,1,76,105,rumah
2690000000,Badung,1,2,0,76,110,villa
2690000000,Badung,1,2,0,76,110,villa
650000000,Badung,2,1,0,77,77,rumah
2900000000,Badung,2,2,0,77,100,rumah
3100000000,Gianyar,1,1,0,77,120,villa
750000000,Tabanan,4,3,0,77,160,rumah
1750000000,Denpasar,3,2,1,78,83,rumah
1100000000,Badung,4,2,1,78,107,rumah
740000000,Badung,2,3,0,79,60,rumah
1120000000,Badung,2,2,0,79,114,villa
2500000000,Tabanan,1,1,0,80,60,villa
1400000000,Denpasar,2,2,0,80,64,rumah
750000000,Badung,2,2,1,80,70,rumah
750000000,Badung,2,1,0,80,70,rumah
850000000,Badung,2,2,0,80,70,rumah
1300000000,Denpasar,2,3,0,80,70,rumah
1080000000,Denpasar,3,2,1,80,71,rumah
725000000,Badung,2,1,1,80,80,rumah
995000000,Badung,2,2,1,80,80,rumah
2200000000,Badung,2,2,1,80,82,villa
2200000000,Badung,2,2,1,80,82,villa
2260000000,Badung,2,3,0,80,82,villa
1490000000,Denpasar,3,2,0,80,85,rumah
1890000000,Badung,2,2,1,80,87,rumah
1500000000,Gianyar,1,1,1,80,90,villa
2260000000,Badung,2,3,1,80,90,villa
1250000000,Badung,2,1,0,80,95,villa
2950000000,Badung,2,2,1,80,96,villa
800000000,Badung,2,1,0,80,100,rumah
1000000000,Denpasar,3,1,0,80,100,rumah
1000000000,Badung,2,1,0,80,100,rumah
1000000000,Badung,2,1,1,80,100,rumah
1000000000,Badung,2,1,2,80,100,rumah
1000000000,Badung,2,1,0,80,100,rumah
1030000000,Denpasar,2,1,1,80,100,rumah
1050000000,Badung,2,1,0,80,100,rumah
1090000000,Badung,3,3,0,80,100,rumah
1090000000,Badung,3,3,2,80,100,villa
1090000000,Badung,3,3,2,80,100,rumah
1090000000,Badung,3,3,1,80,100,villa
1090000000,Badung,3,3,1,80,100,rumah
1200000000,Badung,3,2,0,80,100,rumah
1200000000,Badung,2,1,0,80,100,rumah
1200000000,Denpasar,3,2,1,80,100,rumah
1350000000,Tabanan,2,2,1,80,100,villa
1450000000,Denpasar,3,2,0,80,100,rumah
1500000000,Gianyar,2,3,0,80,100,rumah
1500000000,Gianyar,2,3,0,80,100,rumah
1500000000,Badung,3,2,1,80,100,rumah
1500000000,Badung,3,3,1,80,100,rumah
1700000000,Badung,2,3,0,80,100,villa
1700000000,Denpasar,3,2,1,80,100,rumah
1800000000,Badung,3,3,1,80,100,rumah
1850000000,Denpasar,1,1,1,80,100,villa
3680000000,Denpasar,3,2,1,80,100,rumah
3700000000,Gianyar,1,1,1,80,100,villa
800000000,Denpasar,2,1,1,80,104,rumah
1300000000,Badung,2,1,0,80,104,rumah
1300000000,Badung,3,2,0,80,104,rumah
800000000,Badung,2,2,0,80,105,rumah
2000000000,Badung,2,2,0,80,105,villa
2000000000,Badung,2,2,1,80,105,villa
2200000000,Badung,2,2,0,80,105,villa
2600000000,Badung,2,2,0,80,105,villa
2830000000,Badung,3,2,1,80,105,villa
2300000000,Badung,2,2,1,80,106,villa
2300000000,Badung,2,2,1,80,106,villa
2300000000,Badung,2,2,1,80,106,villa
2300000000,Badung,2,2,1,80,106,villa
2390000000,Badung,2,2,1,80,106,villa
2390000000,Badung,2,2,1,80,106,villa
2390000000,Badung,2,2,1,80,106,villa
2390000000,Badung,2,2,0,80,106,villa
2390000000,Badung,2,2,0,80,106,villa
2390000000,Badung,2,2,0,80,106,villa
2390000000,Badung,2,2,0,80,106,villa
2390000000,Badung,2,2,1,80,106,villa
2490000000,Badung,2,2,0,80,106,villa
2490000000,Badung,2,2,1,80,106,villa
1800000000,Badung,3,2,1,80,107,rumah
2390000000,Badung,2,2,1,80,107,villa
2400000000,Badung,2,2,0,80,107,villa
2500000000,Badung,2,3,0,80,107,villa
1200000000,Badung,2,1,1,80,114,rumah
1300000000,Denpasar,2,1,1,80,114,rumah
1900000000,Badung,2,3,1,80,114,villa
1900000000,Badung,2,3,1,80,114,villa
3190000000,Badung,2,3,1,80,114,villa
1430000000,Badung,2,2,1,80,116,villa
1450000000,Badung,2,2,0,80,116,villa
1600000000,Badung,2,2,0,80,118,villa
1460000000,Badung,2,2,1,80,119,rumah
1460000000,Badung,2,2,1,80,119,rumah
850000000,Badung,2,2,0,80,120,rumah
1100000000,Badung,3,2,0,80,120,rumah
1100000000,Badung,3,2,0,80,120,rumah
1200000000,Badung,3,2,1,80,120,rumah
1800000000,Badung,2,2,0,80,120,rumah
3300000000,Gianyar,1,2,0,80,120,villa
3300000000,Gianyar,1,1,0,80,120,villa
3300000000,Gianyar,1,1,0,80,120,villa
3300000000,Gianyar,1,1,1,80,120,villa
